year,n_participants,n_completed,p_completed,cohort
Year 2,1219030,60285.0,4.95,participants
Year 3,1333780,78085.0,5.85,participants
Year 4,1958222,80495.0,4.11,participants
Year 5,1097759,43726.0,3.98,participants
Year 6,980589,30650.0,3.13,participants
Year 2,178909,20593.0,11.51,intend_complete
Year 3,191578,33986.0,17.74,intend_complete
Year 4,209333,34416.0,16.44,intend_complete
Year 5,74116,11952.0,16.13,intend_complete
Year 6,42005,6478.0,15.42,intend_complete
Year 2,6790,3003.0,44.23,verified
Year 3,27490,13792.0,50.17,verified
Year 4,52384,26051.0,49.73,verified
Year 5,47362,26725.0,56.43,verified
Year 6,46326,21321.0,46.02,verified
